env_name,n_candidates,comparison,paired_replicates,true_return_gap_mean,true_return_gap_stderr,true_return_gap_ci95_low,true_return_gap_ci95_high,regret_gap_mean,lhs_worse_rate
MountainCarContinuous-v0,96,gate_minus_sample,36,0.0,0.0,0.0,0.0,0.0,0.0
MountainCarContinuous-v0,96,gate_minus_lcb,36,0.0,0.0,0.0,0.0,0.0,0.0
MountainCarContinuous-v0,96,gate_minus_mean,36,0.0,0.0,0.0,0.0,0.0,0.0
MountainCarContinuous-v0,96,sample_minus_lcb,36,0.0,0.0,0.0,0.0,0.0,0.0
MountainCarContinuous-v0,96,sample_minus_mean,36,0.0,0.0,0.0,0.0,0.0,0.0
MountainCarContinuous-v0,96,ucb_minus_lcb,36,0.0,0.0,0.0,0.0,0.0,0.0
MountainCarContinuous-v0,96,gate_minus_teacher,36,0.10000000000000002,2.3457742823987844e-18,0.10000000000000002,0.10000000000000002,-0.10000000000000002,0.0
MountainCarContinuous-v0,96,gate_minus_cem,36,0.016402065699000223,0.0030240723412221556,0.010474883910204798,0.022329247487795648,-0.016402065699000223,0.0
MountainCarContinuous-v0,96,lcb_minus_teacher,36,0.10000000000000002,2.3457742823987844e-18,0.10000000000000002,0.10000000000000002,-0.10000000000000002,0.0
MountainCarContinuous-v0,96,lcb_minus_cem,36,0.016402065699000223,0.0030240723412221556,0.010474883910204798,0.022329247487795648,-0.016402065699000223,0.0
Pendulum-v1,96,gate_minus_sample,36,6.024950906278254e-05,0.00014359757192264623,-0.00022120173190560407,0.0003417007500311692,-6.024950906278254e-05,0.1388888888888889
Pendulum-v1,96,gate_minus_lcb,36,0.0,0.0,0.0,0.0,0.0,0.0
Pendulum-v1,96,gate_minus_mean,36,0.0,0.0,0.0,0.0,0.0,0.0
Pendulum-v1,96,sample_minus_lcb,36,-6.024950906278254e-05,0.00014359757192264623,-0.0003417007500311692,0.00022120173190560407,6.024950906278254e-05,0.08333333333333333
Pendulum-v1,96,sample_minus_mean,36,-6.024950906278254e-05,0.00014359757192264623,-0.0003417007500311692,0.00022120173190560407,6.024950906278254e-05,0.08333333333333333
Pendulum-v1,96,ucb_minus_lcb,36,-6.102334766137147e-05,0.0001157182505625821,-0.00028783111876403236,0.00016578442344128945,6.102334766137147e-05,0.027777777777777776
Pendulum-v1,96,gate_minus_teacher,36,-0.001059692228471455,0.00039389063137708564,-0.0018317178659705427,-0.0002876665909723671,0.001059692228471455,0.6666666666666666
Pendulum-v1,96,gate_minus_cem,36,-0.0008301064628435384,0.0003508681271812819,-0.001517807992118851,-0.00014240493356822593,0.0008301064628435384,0.6944444444444444
Pendulum-v1,96,lcb_minus_teacher,36,-0.001059692228471455,0.00039389063137708564,-0.0018317178659705427,-0.0002876665909723671,0.001059692228471455,0.6666666666666666
Pendulum-v1,96,lcb_minus_cem,36,-0.0008301064628435384,0.0003508681271812819,-0.001517807992118851,-0.00014240493356822593,0.0008301064628435384,0.6944444444444444
